# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps
26.46205,-0.42009,3.21663,2.83625,-0.72983,2.76477
26.52255,-0.47638,3.23881,2.78956,-0.71287,2.83009
26.58380,-0.53237,3.26365,2.74415,-0.69078,2.89202
26.64590,-0.58805,3.29114,2.70026,-0.66613,2.95201
26.70888,-0.64335,3.32127,2.65798,-0.64102,3.01103
26.77278,-0.69822,3.35403,2.61730,-0.61676,3.06961
26.83761,-0.75256,3.38938,2.57814,-0.59425,3.12792
26.90335,-0.80628,3.42728,2.54036,-0.57402,3.18591
26.96997,-0.85926,3.46767,2.50380,-0.55637,3.24335
27.03744,-0.91139,3.51050,2.46830,-0.54145,3.29991
27.10570,-0.96253,3.55570,2.43367,-0.52928,3.35519
27.17467,-1.01255,3.60320,2.39974,-0.51984,3.40872
27.24430,-1.06131,3.65290,2.36633,-0.51319,3.45995
27.31449,-1.10864,3.70473,2.33326,-0.50922,3.50823
27.38516,-1.15441,3.75859,2.30038,-0.50768,3.55281
27.45605,-1.19832,3.81423,2.26750,-0.50920,3.54144
27.52685,-1.24010,3.87140,2.23435,-0.51748,3.47828
27.59738,-1.27949,3.92990,2.20042,-0.53367,3.41231
27.66741,-1.31624,3.98952,2.16523,-0.55419,3.34497
27.73676,-1.35010,4.05004,2.12854,-0.58680,3.28202
27.80522,-1.38099,4.11113,2.08920,-0.61490,3.22145
27.87258,-1.40885,4.17246,2.04989,-0.60549,3.14472
27.93866,-1.43362,4.23372,2.01035,-0.61710,3.06065
28.00327,-1.45526,4.29460,1.96997,-0.63267,2.97012
28.06625,-1.47371,4.35482,1.92823,-0.65881,2.87538
28.12746,-1.48894,4.41410,1.88446,-0.69580,2.77816
28.18677,-1.50092,4.47219,1.83787,-0.74657,2.68042
28.24411,-1.50962,4.52886,1.78748,-0.81428,2.58444
28.29943,-1.51503,4.58391,1.73207,-0.90308,2.49334
28.35274,-1.51713,4.63719,1.67013,-1.01634,2.41186
28.40422,-1.51593,4.68865,1.59991,-1.16380,2.35267
28.45483,-1.51148,4.73906,1.52063,-1.27166,2.34445
28.50516,-1.50385,4.78881,1.43793,-1.27355,2.34445
28.55560,-1.49310,4.83809,1.35714,-1.21448,2.34445
